Processed_Text,Encoded_Label
many acquaintance place father wa universally civil one among could accepted lieu miss taylor even half day,0
wa melancholy change emma could sigh wish impossible thing till father awoke made necessary cheerful,0
spirit required support,1
wa nervous man easily depressed fond every body wa used hating part hating change every kind,0
matrimony origin change wa always disagreeable wa mean yet reconciled daughter marrying could ever speak compassion though entirely match affection wa obliged part miss taylor habit gentle selfishness never able suppose people could feel differently wa much disposed think miss taylor done sad thing would great deal happier spent rest life hartfield,0
emma smiled chatted cheerfully could keep thought tea came wa impossible say exactly said dinner poor miss taylori wish,0
pity mr,1
weston ever thought agree papa know,1
mr,1
weston goodhumoured pleasant excellent man thoroughly deserves good wifeand would miss taylor live u ever bear odd humour might house house ownbut advantage house three time large,0
never odd humour dear,1
often shall going see coming see uswe shall always meeting must begin must go pay wedding visit soon,0
dear get far randalls distance,1
could walk half far,1
papa nobody thought walking,1
must go carriage sure,1
carriage james like put horse little wayand poor horse paying visit put mr,0
weston stable papa,1
know settled already,1
talked mr,1
weston last night,1
james may sure always like going randalls daughter housemaid,0
doubt whether ever take u anywhere else,1
wa papa,1
got hannah good place,1
nobody thought hannah till mentioned herjames obliged glad think,0
wa lucky would poor james think slighted upon account sure make good servant civil prettyspoken girl great opinion,0
whenever see always curtsey asks pretty manner needlework observe always turn lock door right way never bang,0
sure excellent servant great comfort poor miss taylor somebody used see,0
whenever james go see daughter know hearing u,1
able tell,1
emma spared exertion maintain happier flow idea hoped help backgammon get father tolerably evening attacked regret,0
backgammontable wa placed visitor immediately afterwards walked made unnecessary,0
mr,1
knightley sensible man seven eightandthirty wa old intimate friend family particularly connected elder brother isabella husband,0
lived mile highbury wa frequent visitor always welcome time welcome usual coming directly mutual connexion london,0
returned late dinner day absence walked hartfield say well brunswick square,0
wa happy circumstance animated mr,1
woodhouse time,1
mr,1
knightley cheerful manner always good many inquiry poor isabella child answered satisfactorily,0
wa mr,1
woodhouse gratefully observed kind mr,1
knightley come late hour call upon u,1
afraid must shocking walk,1
sir,1
beautiful moonlight night mild must draw back great fire,0
must found damp dirty,1
wish may catch cold,1
dirty sir look shoe,1
speck,1
well quite surprising vast deal rain,1
rained dreadfully hard half hour breakfast,1
wanted put wedding,1
byei wished joy,1
pretty well aware sort joy must feeling hurry congratulation hope went tolerably well,0
behave cried ah poor miss taylor ti sad business,0
poor mr,1
miss woodhouse please possibly say poor miss taylor,1
great regard emma come question dependence independenceat rate must better one please two,0
especially one two fanciful troublesome creature said emma playfully,0
head knowand would certainly say father,1
believe true dear indeed said mr,1
woodhouse sigh,1
afraid sometimes fanciful troublesome,1
dearest papa think could mean suppose mr,1
knightley mean,1
horrible idea oh meant,1
mr,1
knightley love find fault know jokeit joke,1
always say like one another,1
mr,1
knightley fact wa one people could see fault emma woodhouse one ever told though wa particularly agreeable emma knew would much less father would really suspect circumstance thought perfect every body,0
emma know never flatter said mr,1
knightley meant reflection body,1
miss taylor ha used two person please one,1
chance must gainer,1
well said emma willing let passyou want hear wedding shall happy tell behaved charmingly,0
every body wa punctual every body best look tear hardly long face seen,0
oh felt going half mile apart sure meeting every day,0
dear emma bear every thing well said father,1
mr,1
knightley really sorry lose poor miss taylor sure miss think,0
emma turned away head divided tear smile,1
impossible emma miss companion said mr,1
knightley,1
like well sir could suppose know much marriage miss taylor advantage know acceptable must miss taylor time life settled home important secure comfortable provision therefore allow feel much pain pleasure,0
every friend miss taylor must glad happily married,1
forgotten one matter joy said emma considerable onethat made match,0
made match know four year ago take place proved right many people said mr,0
weston would never marry may comfort thing,1
mr,1
knightley shook head,1
father fondly replied ah dear wish would make match foretell thing whatever say always come pas,0
pray make match,1
promise make none papa must indeed people,1
greatest amusement world success knowevery body said mr,1
weston would never marry,1
oh dear mr,1
weston widower long seemed perfectly comfortable without wife constantly occupied either business town among friend always acceptable wherever went always cheerful mr,0
weston need spend single evening year alone like,1
oh mr,1
weston certainly would never marry,1
people even talked promise wife deathbed others son uncle letting,0
manner solemn nonsense wa talked subject believed none,1
ever since dayabout four year agothat miss taylor met broadway lane began drizzle darted away much gallantry borrowed two umbrella u farmer mitchell made mind subject,0
planned match hour success ha blessed instance dear papa think shall leave matchmaking,0
understand mean success said mr,1
knightley,1
success supposes endeavour,1
time ha properly delicately spent endeavouring last four year bring marriage,0
worthy employment young lady mind rather imagine making match call mean planning saying one idle day think would good thing miss taylor mr,0
weston marry saying every afterwards talk success merit proud made lucky guess said,0
never known pleasure triumph lucky guess pity,1
thought clevererfor depend upon lucky guess never merely luck,0
always talent,1
poor word success quarrel know entirely without claim,1
drawn two pretty picture think may thirda something donothing doall,0
promoted mr,1
weston visit given many little encouragement smoothed many little matter might come thing,0
think must know hartfield enough comprehend,1
straightforward openhearted man like weston rational unaffected woman like miss taylor may safely left manage concern,0
likely done harm good interference,1
emma never think good others rejoined mr,1
woodhouse understanding part,1
dear pray make match silly thing break one family circle grievously,0
one papa mr,1
elton,1
poor mr,1
elton like mr,1
elton papai must look wife,1
nobody highbury deserves himand ha whole year ha fitted house comfortably would shame single longerand thought wa joining hand today looked much would like kind office done think well mr,0
elton way service,1
mr,1
elton pretty young man sure good young man great regard,0
want shew attention dear ask come dine u day,0
much better thing,1
dare say mr,1
knightley kind meet,1
great deal pleasure sir time said mr,1
knightley laughing agree entirely much better thing,1
invite dinner emma help best fish chicken leave chuse wife,0
depend upon man six sevenandtwenty take care,1
chapter ii mr,1
weston wa native highbury born respectable family last two three generation rising gentility property,0
received good education succeeding early life small independence become indisposed homely pursuit brother engaged satisfied active cheerful mind social temper entering militia county embodied,0
captain weston wa general favourite chance military life introduced miss churchill great yorkshire family miss churchill fell love nobody wa surprized except brother wife never seen full pride importance connexion would offend,0
miss churchill however age full command fortunethough fortune bore proportion familyestatewas dissuaded marriage took place infinite mortification mr,0
mr,1
churchill threw due decorum,1
wa unsuitable connexion produce much happiness,1
mr,1
weston ought found husband whose warm heart sweet temper made think every thing due return great goodness love though one sort spirit best,0
resolution enough pursue spite brother enough refrain unreasonable regret brother unreasonable anger missing luxury former home,0
lived beyond income still wa nothing comparison enscombe cease love husband wanted wife captain weston miss churchill enscombe,0
captain weston considered especially churchill making amazing match wa proved much worst bargain wife died three year marriage wa rather poorer man first child maintain,0
expense child however wa soon relieved,1
boy additional softening claim lingering illness mother mean sort reconciliation mr,0
mr,1
churchill child young creature equal kindred care offered take whole charge little frank soon decease,0
scruple reluctance widowerfather may supposed felt overcome consideration child wa given care wealth churchill comfort seek situation improve could,0
complete change life became desirable,1
quitted militia engaged trade brother already established good way london afforded favourable opening,0
wa concern brought employment enough,1
still small house highbury leisure day spent useful occupation pleasure society next eighteen twenty year life passed cheerfully away,0
time realised easy competenceenough secure purchase little estate adjoining highbury always longed forenough marry woman portionless even miss taylor live according wish friendly social disposition,0
wa time since miss taylor begun influence scheme wa tyrannic influence youth youth shaken determination never settling till could purchase randalls sale randalls wa long looked forward gone steadily object view till accomplished,0
made fortune bought house obtained wife wa beginning new period existence every probability greater happiness yet passed,0
never unhappy man temper secured even first marriage second must shew delightful welljudging truly amiable woman could must give pleasantest proof great deal better choose chosen excite gratitude feel,0
please choice fortune wa frank wa tacitly brought uncle heir become avowed adoption assume name churchill coming age,0
wa unlikely therefore ever want father assistance,1
father apprehension,1
aunt wa capricious woman governed husband entirely wa mr,0
weston nature imagine caprice could strong enough affect one dear believed deservedly dear,0
saw son every year london wa proud fond report fine young man made highbury feel sort pride,0
wa looked sufficiently belonging place make merit prospect kind common concern,0
mr,1
frank churchill wa one boast highbury lively curiosity see prevailed though compliment wa little returned never life,0
coming visit father often talked never achieved,1
upon father marriage wa generally proposed proper attention visit take place,0
wa dissentient voice subject either mr,1
perry drank tea mr,1
miss bates mr,1
miss bates returned visit,1
wa time mr,1
frank churchill come among hope strengthened wa understood written new mother occasion,0
day every morning visit highbury included mention handsome letter mr,0
weston received,1
suppose heard handsome letter mr,1
frank churchill ha written mr,1
weston understand wa handsome letter indeed,1
mr,1
woodhouse told,1
mr,1
woodhouse saw letter say never saw handsome letter life,0
wa indeed highly prized letter,1
mr,1
weston course formed favourable idea young man pleasing attention wa irresistible proof great good sense welcome addition every source every expression congratulation marriage already secured,0
felt fortunate woman lived long enough know fortunate might well thought regret wa partial separation friend whose friendship never cooled could ill bear part,0
knew time must missed could think without pain emmas losing single pleasure suffering hour ennui want companionableness dear emma wa feeble character wa equal situation girl would sense energy spirit might hoped would bear well happily little difficulty privation,0
wa comfort easy distance randalls hartfield convenient even solitary female walking mr,0
weston disposition circumstance would make approaching season hindrance spending half evening week together,0
situation wa altogether subject hour gratitude mr,1
weston moment regret satisfactionher satisfactionher cheerful enjoyment wa apparent emma well knew father wa sometimes taken surprize still able pity poor miss taylor left randalls centre every domestic comfort saw go away evening attended pleasant husband carriage,0
never go without mr,1
woodhouses giving gentle sigh saying ah poor miss taylor would glad stay,0
wa recovering miss taylornor much likelihood ceasing pity week brought alleviation mr,0
woodhouse,1
compliment neighbour wa longer teased wished joy sorrowful event weddingcake great distress wa eat,0
stomach could bear nothing rich could never believe people different,0
wa unwholesome regarded unfit body therefore earnestly tried dissuade weddingcake proved vain earnestly tried prevent body eating,0
pain consulting mr,1
perry apothecary subject,1
mr,1
perry wa intelligent gentlemanlike man whose frequent visit one comfort mr,0
woodhouses life upon applied could acknowledge though seemed rather bias inclination weddingcake might certainly disagree manyperhaps people unless taken moderately,0
opinion confirmation mr,1
woodhouse hoped influence every visitor newly married pair still cake wa eaten wa rest benevolent nerve till wa gone,0
wa strange rumour highbury little perry seen slice mr,0
weston weddingcake hand mr,1
woodhouse would never believe,1
chapter iii mr,1
woodhouse wa fond society way,1
liked much friend come see various united cause long residence hartfield good nature fortune house daughter could command visit little circle great measure liked,0
much intercourse family beyond circle horror late hour large dinnerparties made unfit acquaintance would visit term,0
fortunately highbury including randalls parish donwell abbey parish adjoining seat mr,0
knightley comprehended many,1
unfrequently emmas persuasion chosen best dine evening party preferred unless fancied time unequal company wa scarcely evening week emma could make cardtable,0
real longstanding regard brought weston mr,1
knightley mr,1
elton young man living alone without liking privilege exchanging vacant evening blank solitude elegancies society mr,0
woodhouses drawingroom smile lovely daughter wa danger thrown away,0
came second set among comeatable mr,1
miss bates mr,1
goddard three lady almost always service invitation hartfield fetched carried home often mr,0
woodhouse thought hardship either james horse,1
taken place year would grievance,1
mr,1
bates widow former vicar highbury wa old lady almost past every thing tea quadrille,0
lived single daughter small way wa considered regard respect harmless old lady untoward circumstance excite,0
daughter enjoyed uncommon degree popularity woman neither young handsome rich married,0
miss bates stood worst predicament world much public favour intellectual superiority make atonement frighten might hate outward respect,0
never boasted either beauty cleverness,1
youth passed without distinction middle life wa devoted care failing mother endeavour make small income go far possible,0
yet wa happy woman woman one named without goodwill,0
wa universal goodwill contented temper worked wonder,1
loved every body wa interested every body happiness quicksighted every body merit thought fortunate creature surrounded blessing excellent mother many good neighbour friend home wanted nothing,0
simplicity cheerfulness nature contented grateful spirit recommendation every body mine felicity,0
wa great talker upon little matter exactly suited mr,0
woodhouse full trivial communication harmless gossip,1
mr,1
goddard wa mistress schoolnot seminary establishment thing professed long sentence refined nonsense combine liberal acquirement elegant morality upon new principle new systemsand young lady enormous pay might screwed health vanitybut real honest oldfashioned boardingschool reasonable quantity accomplishment sold reasonable price girl might sent way scramble little education without danger coming back prodigy,0
mr,1
goddard school wa high reputeand deservedly highbury wa reckoned particularly healthy spot ample house garden gave child plenty wholesome food let run great deal summer winter dressed chilblain hand,0
wa wonder train twenty young couple walked church,1
wa plain motherly kind woman worked hard youth thought entitled occasional holiday teavisit formerly owed much mr,0
woodhouses kindness felt particular claim leave neat parlour hung round fancywork whenever could win lose sixpence fireside,0
lady emma found frequently able collect happy wa father sake power though far wa concerned wa remedy absence mr,0
weston,1
wa delighted see father look comfortable much pleased contriving thing well quiet prosings three woman made feel every evening spent wa indeed one long evening fearfully anticipated,0
sat one morning looking forward exactly close present day note wa brought mr,0
goddard requesting respectful term allowed bring miss smith welcome request miss smith wa girl seventeen emma knew well sight long felt interest account beauty,0
gracious invitation wa returned evening longer dreaded fair mistress mansion,0
harriet smith wa natural daughter somebody,1
somebody placed several year back mr,1
goddard school somebody lately raised condition scholar parlourboarder,1
wa wa generally known history,1
visible friend acquired highbury wa returned long visit country young lady school,0
wa pretty girl beauty happened sort emma particularly admired,0
wa short plump fair fine bloom blue eye light hair regular feature look great sweetness end evening emma wa much pleased manner person quite determined continue acquaintance,0
wa struck thing remarkably clever miss smith conversation found altogether engagingnot inconveniently shy unwilling talkand yet far pushing shewing proper becoming deference seeming pleasantly grateful admitted hartfield artlessly impressed appearance every thing superior style used must good sense deserve encouragement,0
encouragement given,1
soft blue eye natural grace wasted inferior society highbury connexion,0
acquaintance already formed unworthy,1
friend parted though good sort people must harm,1
family name martin emma well knew character renting large farm mr,0
knightley residing parish donwellvery creditably believedshe knew mr,1
knightley thought highly thembut must coarse unpolished unfit intimate girl wanted little knowledge elegance quite perfect,0
would notice would improve would detach bad acquaintance introduce good society would form opinion manner,0
would interesting certainly kind undertaking highly becoming situation life leisure power,0
wa busy admiring soft blue eye talking listening forming scheme inbetweens evening flew away unusual rate suppertable always closed party used sit watch due time wa set ready moved forward fire wa aware,0
alacrity beyond common impulse spirit yet wa never indifferent credit every thing well attentively real goodwill mind delighted idea honour meal help recommend minced chicken scalloped oyster urgency knew would acceptable early hour civil scruple guest,0
upon occasion poor mr,1
woodhouses feeling sad warfare,1
loved cloth laid fashion youth conviction supper unwholesome made rather sorry see thing put hospitality would welcomed visitor every thing care health made grieve would eat,0
another small basin thin gruel wa could thorough selfapprobation recommend though might constrain lady comfortably clearing nicer thing say mr,0
bates let propose venturing one egg,1
egg boiled soft unwholesome,1
serle understands boiling egg better body,1
would recommend egg boiled body else need afraid small seeone small egg hurt,0
miss bates let emma help little bit tarta little bit,0
appletarts,1
need afraid unwholesome preserve,1
advise custard,1
mr,1
goddard say half glass wine small halfglass put tumbler water think could disagree,0
emma allowed father talkbut supplied visitor much satisfactory style present evening particular pleasure sending away happy,0
happiness miss smith wa quite equal intention,1
miss woodhouse wa great personage highbury prospect introduction given much panic pleasure humble grateful little girl went highly gratified feeling delighted affability miss woodhouse treated evening actually shaken hand last chapter iv harriet smith intimacy hartfield wa soon settled thing,0
quick decided way emma lost time inviting encouraging telling come often acquaintance increased satisfaction,0
walking companion emma early foreseen useful might find,1
respect mr,1
weston loss important,1
father never went beyond shrubbery two division ground sufficed long walk short year varied since mr,0
weston marriage exercise much confined,1
ventured alone randalls wa pleasant harriet smith therefore one could summon time walk would valuable addition privilege,0
every respect saw approved wa confirmed kind design,1
harriet certainly wa clever sweet docile grateful disposition wa totally free conceit desiring guided one looked,0
early attachment wa amiable inclination good company power appreciating wa elegant clever shewed wa want taste though strength understanding must expected,0
altogether wa quite convinced harriet smith exactly young friend wantedexactly something home required,0
friend mr,1
weston wa question,1
two could never granted,1
two want,1
wa quite different sort thing sentiment distinct independent,1
mr,1
weston wa object regard basis gratitude esteem,1
harriet would loved one could useful,1
mr,1
weston wa nothing done harriet every thing,1
first attempt usefulness endeavour find parent harriet could tell,0
wa ready tell every thing power subject question vain,0
emma wa obliged fancy likedbut could never believe situation discovered truth,0
harriet penetration,1
satisfied hear believe mr,1
goddard chose tell looked farther,1
mr,1
goddard teacher girl affair school general formed naturally great part conversationand acquaintance martin abbeymill farm must whole,0
martin occupied thought good deal spent two happy month loved talk pleasure visit describe many comfort wonder place,0
emma encouraged talkativenessamused picture another set enjoying youthful simplicity could speak much exultation mr,0
martin two parlour two good parlour indeed one quite large mr,0
goddard drawingroom upper maid lived fiveandtwenty year eight cow two alderneys one little welch cow pretty little welch cow indeed mr,0
martin saying wa fond called cow handsome summerhouse garden day next year drink teaa handsome summerhouse large enough hold dozen people,0
time wa amused without thinking beyond immediate cause came understand family better feeling arose,0
taken wrong idea fancying wa mother daughter son son wife lived together appeared mr,0
martin bore part narrative wa always mentioned approbation great goodnature something wa single man wa young mr,0
martin wife case suspect danger poor little friend hospitality kindness taken care might required sink forever,0
inspiriting notion question increased number meaning particularly led harriet talk mr,0
martin wa evidently dislike,1
harriet wa ready speak share moonlight walk merry evening game dwelt good deal upon goodhumoured obliging,0
gone three mile round one day order bring walnut said fond wa every thing else wa obliging,0
shepherd son parlour one night purpose sing,1
wa fond singing,1
could sing little,1
believed wa clever understood every thing,1
fine flock wa bid wool body country,1
believed every body spoke well,1
mother sister fond,1
mr,1
martin told one day wa blush said wa impossible body better son therefore wa sure whenever married would make good husband,0
wanted marry,1
wa hurry,1
well done mr,1
martin thought emma,1
know,1
come away mr,1
martin wa kind send mr,1
goddard beautiful goosethe finest goose mr,1
goddard ever seen,1
mr,1
goddard dressed sunday asked three teacher miss nash miss prince miss richardson sup,0
mr,1
martin suppose man information beyond line business doe read oh yesthat noi knowbut believe ha read good dealbut would think thing,0
read agricultural report book lay one window seatsbut read,0
sometimes evening went card would read something aloud elegant extract entertaining,0
know ha read vicar wakefield,1
never read romance forest child abbey,1
never heard book mentioned determined get soon ever,1
next question wa sort looking man mr,1
martin oh handsomenot handsome,1
thought plain first think plain,1
one doe know time,1
never see highbury every sure ride every week way kingston,0
ha passed often,1
may may seen fifty time without idea name,1
young farmer whether horseback foot last sort person raise curiosity,0
yeomanry precisely order people feel nothing,1
degree two lower creditable appearance might interest might hope useful family way,0
farmer need none help therefore one sense much notice every,0
sure,1
oh yes likely ever observed know well indeedi mean sight,0
doubt respectable young man,1
know indeed wish well,1
imagine age wa fourandtwenty th last june birthday rd fortnight day differencewhich odd,0
fourandtwenty,1
young settle,1
mother perfectly right hurry,1
seem comfortable take pain marry would probably repent,1
six year hence could meet good sort young woman rank little money might desirable,0
six year hence dear miss woodhouse would thirty year old well early men afford marry born independence,0
mr,1
martin imagine ha fortune entirely makecannot beforehand world,1
whatever money might come father died whatever share family property dare say afloat employed stock forth though diligence good luck may rich time next impossible realised thing yet,0
sure,1
live comfortably,1
indoors man else want thing mr,1
martin talk taking boy another year,1
wish may get scrape harriet whenever doe marryi mean acquainted wifefor though sister superior education altogether objected doe follow might marry body fit notice,0
misfortune birth ought make particularly careful associate,1
doubt gentleman daughter must support claim station every thing within power plenty people would take pleasure degrading,0
yes sure suppose,1
visit hartfield kind miss woodhouse afraid body,1
understand force influence pretty well harriet would firmly established good society independent even hartfield miss woodhouse,0
want see permanently well connected end advisable odd acquaintance may therefore say still country mr,0
martin marries wish may drawn intimacy sister acquainted wife probably mere farmer daughter without education,0
sure,1
yes,1
think mr,1
martin would ever marry body educationand well brought,1
however mean set opinion yoursand sure shall wish acquaintance wife,0
shall always great regard miss martin especially elizabeth sorry give quite well educated,0
marries ignorant vulgar woman certainly better visit help,1
emma watched fluctuation speech saw alarming symptom love,1
young man first admirer trusted wa hold would serious difficulty harriets side oppose friendly arrangement,0
met mr,1
martin next day walking donwell road,1
wa foot looking respectfully looked unfeigned satisfaction companion,1
emma wa sorry opportunity survey walking yard forward talked together soon made quick eye sufficiently acquainted mr,0
robert martin,1
appearance wa neat looked like sensible young man person advantage came contrasted gentleman thought must lose ground gained harriets inclination,0
harriet wa insensible manner voluntarily noticed father gentleness admiration well wonder,0
mr,1
martin looked know manner wa,1
remained minute together miss woodhouse must kept waiting harriet came running smiling face flutter spirit miss woodhouse hoped soon compose,0
think happening meet himhow odd wa quite chance said gone round randalls,0
think ever walked road,1
thought walked towards randalls day,1
ha able get romance forest yet,1
wa busy last time wa kingston quite forgot go tomorrow,0
odd happen meet well miss woodhouse like expected think think plain plain undoubtedlyremarkably plainbut nothing compared entire want gentility,0
right expect much expect much idea could clownish totally without air,0
imagined confess degree two nearer gentility,1
sure said harriet mortified voice genteel real gentleman,1
think harriet since acquaintance u repeatedly company real gentleman must struck difference mr,0
martin,1
hartfield good specimen well educated well bred men,1
surprized seeing could company mr,1
martin without perceiving inferior creatureand rather wondering ever thought agreeable,0
begin feel struck sure must struck awkward look abrupt manner uncouthness voice heard wholly unmodulated stood,0
certainly like mr,1
knightley,1
ha fine air way walking mr,1
knightley,1
see difference plain enough,1
mr,1
knightley fine man mr,1
knightleys air remarkably good fair compare mr,1
martin,1
might see one hundred gentleman plainly written mr,1
knightley,1
gentleman lately used,1
say mr,1
weston mr,1
elton compare mr,1
martin either,1
compare manner carrying walking speaking silent,1
must see difference,1
oh yesthere great difference,1
mr,1
weston almost old man,1
mr,1
weston must forty fifty,1
make good manner valuable,1
older person grows harriet important manner bad glaring disgusting loudness coarseness awkwardness becomes,0
passable youth detestable later age,1
mr,1
martin awkward abrupt mr,1
weston time life saying indeed replied harriet rather solemnly,0
may pretty good guessing,1
completely gross vulgar farmer totally inattentive appearance thinking nothing profit loss,0
indeed bad,1
much business engrosses already plain circumstance forgetting inquire book recommended,0
wa great deal full market think thing elsewhich thriving man,0
ha book doubt thrive rich man timeand illiterate coarse need disturb u,0
wonder remember bookwas harriets answer spoken degree grave displeasure emma thought might safely left,0
therefore said time,1
next beginning wa one respect perhaps mr,1
eltons manner superior mr,1
knightleys mr,1
weston,1
gentleness,1
might safely held pattern,1
openness quickness almost bluntness mr,1
weston every body like much goodhumour itbut would copied,0
neither would mr,1
knightleys downright decided commanding sort manner though suit well figure look situation life seem allow young man set copying would sufferable,0
contrary think young man might safely recommended take mr,0
elton model,1
mr,1
elton goodhumoured cheerful obliging gentle,1
seems grown particularly gentle late,1
know whether ha design ingratiating either u harriet additional softness strike manner softer used,0
mean thing must please,1
tell said day repeated warm personal praise drawn mr,0
elton full justice harriet blushed smiled said always thought mr,0
elton agreeable,1
mr,1
elton wa person fixed emma driving young farmer harriets head,0
thought would excellent match palpably desirable natural probable much merit planning,0
feared wa every body else must think predict,1
wa likely however body equalled date plan entered brain first evening harriets coming hartfield,0
longer considered greater wa sense expediency,1
mr,1
eltons situation wa suitable quite gentleman without low connexion time family could fairly object doubtful birth harriet,0
comfortable home emma imagined sufficient income though vicarage highbury wa large wa known independent property thought highly goodhumoured wellmeaning respectable young man without deficiency useful understanding knowledge world,0
already satisfied thought harriet beautiful girl trusted frequent meeting hartfield wa foundation enough side harriets could little doubt idea preferred would usual weight efficacy,0
wa really pleasing young man young man woman fastidious might like,0
wa reckoned handsome person much admired general though want elegance feature could dispense withbut girl could gratified robert martin riding country get walnut might well conquered mr,0
eltons admiration,1
chapter v know opinion may mr,1
weston said mr,1
knightley great intimacy emma harriet smith think bad thing,0
bad thing really think bad thingwhy think neither good,0
surprize emma must harriet good supplying new object interest harriet may said emma good,0
seeing intimacy greatest pleasure,1
differently feelnot think good certainly beginning one quarrel emma mr,0
knightley,1
perhaps think come purpose quarrel knowing weston must still fight battle,0
mr,1
weston would undoubtedly support think exactly subject,1
speaking yesterday agreeing fortunate wa emma girl highbury associate,0
mr,1
knightley shall allow fair judge case,1
much used live alone know value companion perhaps man good judge comfort woman feel society one sex used life,0
imagine objection harriet smith,1
superior young woman emmas friend ought,1
hand emma want see better informed inducement read,1
read together,1
mean know,1
emma ha meaning read ever since wa twelve year old,0
seen great many list drawingup various time book meant read regularly throughand good list werevery well chosen neatly arrangedsometimes alphabetically sometimes rule,0
list drew fourteeni remember thinking judgment much credit preserved time dare say may made good list,0
done expecting course steady reading emma,1
never submit thing requiring industry patience subjection fancy understanding,0
miss taylor failed stimulate may safely affirm harriet smith nothing,0
never could persuade read half much wished,1
know could,1
dare say replied mr,1
weston smiling thought thenbut since parted never remember emmas omitting thing wished,0
hardly desiring refresh memory thatsaid mr,1
knightley feelingly moment two done,1
soon added charm thrown sens must still see hear remember,0
emma spoiled cleverest family,1
ten year old misfortune able answer question puzzled sister seventeen,0
wa always quick assured isabella slow diffident,1
ever since wa twelve emma ha mistress house,1
mother lost person able cope,1
inherits mother talent must subjection,1
sorry mr,1
knightley dependent recommendation quitted mr,1
woodhouses family wanted another situation think would spoken good word body,0
sure always thought unfit office held,1
yes said smiling,1
better placed fit wife governess,1
preparing excellent wife time hartfield,1
might give emma complete education power would seem promise receiving good education material matrimonial point submitting bid weston asked recommend wife certainly named miss taylor,0
thank,1
little merit making good wife man mr,1
weston,1
truth afraid rather thrown away every disposition bear nothing borne,0
despair however,1
weston may grow cross wantonness comfort son may plague,0
hope,1
likely,1
mr,1
knightley foretell vexation quarter,1
indeed,1
name possibility,1
pretend emmas genius foretelling guessing,1
hope heart young man may weston merit churchill fortune,0
harriet smithi half done harriet smith,1
think worst sort companion emma could possibly,1
know nothing look upon emma knowing every thing,1
flatterer way much worse undesigned,1
ignorance hourly flattery,1
emma imagine ha thing learn harriet presenting delightful inferiority harriet venture say gain acquaintance,0
hartfield put conceit place belongs,1
grow refined enough uncomfortable among birth circumstance placed home,0
much mistaken emmas doctrine give strength mind tend make girl adapt rationally variety situation life,0
give little polish,1
either depend upon emmas good sense anxious present comfort lament acquaintance,0
well looked last night oh would rather talk person mind would well shall attempt deny emmas pretty,0
pretty say beautiful rather,1
imagine thing nearer perfect beauty emma altogetherface figure know could imagine confess seldom seen face figure pleasing,0
partial old friend,1
eyethe true hazle eyeand brilliant regular feature open countenance complexion oh bloom full health pretty height size firm upright figure health merely bloom air head glance,0
one hears sometimes child picture health emma always give idea complete picture grownup health,0
loveliness,1
mr,1
knightley fault find person replied,1
think describe,1
love look add praise think personally vain,1
considering handsome appears little occupied vanity lie another way,0
mr,1
weston talked dislike harriet smith dread harm,1
mr,1
knightley equally stout confidence harm,1
dear emmas little fault excellent creature,1
shall see better daughter kinder sister truer friend ha quality may trusted never lead one really wrong make lasting blunder emma errs right hundred time,0
well plague,1
emma shall angel keep spleen till christmas brings john isabella,0
john love emma reasonable therefore blind affection isabella always think doe except quite frightened enough child,0
sure opinion,1
know love really well unjust unkind excuse mr,1
